Timestamp,Category,Keystrokes
153638392,Atom,1
153638393,Atom,0
153638394,Atom,6
153638395,Atom,14
153638396,Atom,8
153638397,Atom,29
153638398,Atom,16
153638800,Spotify,3
153638801,Spotify,0
153638802,Spotify,0
153638802,Atom,0
153638803,Atom,0
153638804,Atom,0
153638805,Atom,0
153638806,Atom,0
153638807,Atom,0
153638808,Atom,0
153638809,Atom,0
153638810,Atom,0
153638811,Atom,0
153638812,Atom,0
153638813,Spotify,0
153638813,Atom,0
153638814,Atom,0
153638815,Spotify,0
153638816,Atom,0
153638835,Terminal,16
153638836,Terminal,26
153638837,Terminal,9
153638838,Terminal,2
153638839,Terminal,10
153638840,Terminal,15
153638852,Terminal,8
153638853,Terminal,11
153638853,Terminal,9
153638854,Terminal,14
153638855,Terminal,22
153638856,Terminal,0
153638857,Terminal,0
153638858,Terminal,0
153638859,Terminal,0
153638860,Terminal,13
153638861,Terminal,17
153638862,Terminal,18
153638863,Terminal,24
153638863,Terminal,37
153638864,Terminal,0
153638865,Terminal,0
153638866,Terminal,0
153638867,Terminal,0
153638868,Terminal,0
153638869,Terminal,0
153638870,Terminal,0
153638871,Terminal,0
153638872,Terminal,0
153638873,Terminal,0
153638874,Terminal,0
153638874,Terminal,0
153638875,Terminal,0
153638876,Terminal,0
153638877,Terminal,0
153638880,Terminal,6
153638881,Terminal,20
153638881,Terminal,8
153638882,Terminal,17
153638883,Terminal,20
153638884,Terminal,39
153638885,Terminal,8
153638886,Atom,0
153638887,Atom,0
153638888,Terminal,0
153638889,Terminal,0
153638890,Terminal,0
153638891,Terminal,0
153638891,Terminal,0
153639365,Atom,1
153639366,Atom,0
153639367,Google Chrome,0
153639368,Google Chrome,7
153639369,Google Chrome,2
153639370,Atom,0
153639371,Atom,0
153639372,Google Chrome,0
153639373,Atom,0
153639374,Atom,0
153639374,Atom,0
153639375,Atom,0
153639376,Atom,0
153639377,Atom,0
153639378,Atom,0
153639379,Atom,0
153639380,Atom,0
153639381,Atom,0
153639382,Atom,0
153639383,Atom,0
153639384,Atom,0
153639384,Atom,0
153639385,Atom,0
153639386,Atom,0
153639387,Atom,0
153639388,Atom,0
153639389,Atom,0
153639390,Atom,0
153639391,Atom,0
153639392,Atom,0
153639393,Atom,0
153639394,Atom,0
153639395,Atom,0
153639395,Atom,0
153639396,Atom,0
153639397,Atom,0
153639398,Atom,0
153639399,Atom,8
153639400,Atom,4
153639401,Atom,0
153639402,Atom,8
153639403,Atom,9
153639404,Atom,0
153639405,Atom,0
153639406,Atom,0
153639406,Atom,0
153639407,Atom,0
153639408,Atom,0
153639409,Atom,0
153639410,Atom,0
153639411,Atom,0
153639412,Atom,0
153639413,Google Chrome,21
153639414,Google Chrome,14
153639415,Google Chrome,0
153639416,Google Chrome,0
153639417,Google Chrome,0
153639417,Google Chrome,0
153639418,Google Chrome,0
153639419,Google Chrome,0
153639420,Google Chrome,0
153639421,Google Chrome,0
153639422,Google Chrome,0
153639423,Google Chrome,0
153639424,Google Chrome,0
153639425,Google Chrome,2
153639426,Google Chrome,0
153639427,Google Chrome,0
153639428,Google Chrome,0
153639428,Google Chrome,0
153639429,Google Chrome,0
153639430,Google Chrome,0
153639431,Google Chrome,0
153639432,Google Chrome,0
153639433,Google Chrome,0
153639434,Google Chrome,0
153639435,Google Chrome,0
153639436,Google Chrome,0
153639437,Google Chrome,0
153639438,Google Chrome,0
153639438,Google Chrome,0
153639439,Google Chrome,0
153639440,Google Chrome,0
153639441,Google Chrome,0
153639442,Atom,0
153639443,Google Chrome,0
153639444,Google Chrome,0
153639445,Google Chrome,37
153639446,Google Chrome,11
153639447,Google Chrome,0
153639448,Google Chrome,0
153639449,Google Chrome,0
153639449,Google Chrome,0
153639450,Google Chrome,0
153639451,Google Chrome,0
153639452,Google Chrome,0
153639453,Google Chrome,0
153639454,Google Chrome,0
153639455,Google Chrome,0
153639456,Google Chrome,0
153639457,Google Chrome,0
153639458,Google Chrome,0
153639459,Google Chrome,0
153639460,Google Chrome,0
153639461,Google Chrome,0
153639461,Google Chrome,0
153639462,Google Chrome,0
153639463,Google Chrome,7
153639464,Google Chrome,18
153639465,Google Chrome,5
153639466,Google Chrome,0
153639467,Google Chrome,0
153639468,Google Chrome,0
153639469,Google Chrome,0
153639470,Google Chrome,0
153639471,Google Chrome,0
153639472,Google Chrome,0
153639472,Google Chrome,0
153639473,Google Chrome,0
153639474,Google Chrome,0
153639475,Google Chrome,0
153639476,Google Chrome,0
153639477,Google Chrome,0
153639478,Google Chrome,0
153639479,Google Chrome,0
153639480,Google Chrome,0
153639481,Google Chrome,0
153639482,Google Chrome,0
153639482,Spotify,0
153639483,Google Chrome,0
153639484,Google Chrome,0
153639485,Google Chrome,0
153639486,Google Chrome,0
153639487,Google Chrome,0
153639488,Google Chrome,0
153639489,Google Chrome,0
153639490,Google Chrome,0
153639491,Google Chrome,0
153639492,Google Chrome,0
153639493,Google Chrome,0
153639493,Google Chrome,0
153639494,Google Chrome,0
153639495,Google Chrome,0
153639496,Google Chrome,6
153639497,Google Chrome,0
153639498,Google Chrome,18
153639499,Google Chrome,5
153639500,Google Chrome,4
153639501,Google Chrome,8
153639502,Google Chrome,11
153639503,Google Chrome,20
153639504,Google Chrome,0
153639504,Google Chrome,0
153639505,Google Chrome,0
153639506,Google Chrome,8
153639507,Spotify,7
153639508,Spotify,0
153639509,Google Chrome,15
153639510,Google Chrome,0
153639511,Google Chrome,0
153639512,Google Chrome,0
153639513,Google Chrome,0
153639514,Google Chrome,0
153639515,Google Chrome,5
153639515,Google Chrome,9
153639516,Google Chrome,5
153639517,Google Chrome,0
153639518,Google Chrome,17
153639519,Google Chrome,0
153639520,Google Chrome,0
153639521,Google Chrome,0
153639522,Google Chrome,0
153639523,Google Chrome,0
153639524,Google Chrome,10
153639525,Google Chrome,1
153639526,Google Chrome,0
153639526,Google Chrome,2
153639527,Google Chrome,0
153639528,Google Chrome,0
153639529,Google Chrome,0
153639530,Google Chrome,1
153639531,Google Chrome,1
153639532,Google Chrome,0
153639533,Google Chrome,7
153639534,Google Chrome,1
153639535,Google Chrome,1
153639536,Google Chrome,2
153639536,Google Chrome,13
153639537,Google Chrome,0
153639538,Google Chrome,0
153639539,Spotify,0
153639540,Google Chrome,0
153639541,Google Chrome,0
153639542,Google Chrome,6
153639543,Google Chrome,2
153639544,Google Chrome,0
153639545,Google Chrome,0
153639546,Google Chrome,0
153639547,Google Chrome,0
153639547,Google Chrome,18
153639548,Google Chrome,2
153639549,Google Chrome,0
153639550,Google Chrome,0
153639551,Google Chrome,0
153639552,Google Chrome,0
153639553,Google Chrome,0
153639554,Google Chrome,0
153639555,Google Chrome,0
153639556,Spotify,0
153639557,Spotify,0
153639558,Spotify,0
153639558,Google Chrome,0
153639559,Google Chrome,0
153639560,Google Chrome,0
153639561,Google Chrome,0
153639562,Google Chrome,0
153639563,Google Chrome,0
153639564,Google Chrome,0
153639565,Google Chrome,0
153639566,Google Chrome,0
153639567,Google Chrome,0
153639568,Google Chrome,0
153639568,Google Chrome,0
153639569,Google Chrome,0
153639570,Google Chrome,0
153639571,Google Chrome,0
153639572,Google Chrome,0
153639573,Google Chrome,0
153639574,Google Chrome,0
153639575,Google Chrome,0
153639576,Google Chrome,0
153639577,Google Chrome,0
153639578,Google Chrome,0
153639579,Google Chrome,0
153639579,Google Chrome,0
153639580,Google Chrome,0
153639581,Google Chrome,0
153639582,Google Chrome,0
153639583,Spotify,0
153639584,Google Chrome,0
153639585,Google Chrome,0
153639586,Google Chrome,0
153639587,Google Chrome,0
153639588,Google Chrome,0
153639589,Atom,0
153639590,Atom,0
153639590,Atom,0
153639591,Atom,0
153639592,Atom,0
153639593,Atom,0
153639594,Atom,0
153639595,Atom,0
153639596,Atom,0
153639597,Atom,0
153639598,Atom,0
153639599,Atom,0
153639600,Atom,0
153639600,Atom,0
153639601,Atom,0
153639602,Atom,0
153639603,Atom,0
153639604,Atom,0
153639605,Atom,0
153639606,Google Chrome,10
153639607,Google Chrome,0
153639608,Google Chrome,1
153639609,Google Chrome,0
153639610,Google Chrome,0
153639611,Google Chrome,0
153639611,Google Chrome,0
153639612,Google Chrome,0
153639613,Google Chrome,0
153639614,Google Chrome,0
153639615,Google Chrome,0
153639616,Google Chrome,0
153639617,Google Chrome,0
153639618,Google Chrome,0
153639619,Google Chrome,0
153639620,Atom,0
153639621,Atom,0
153639621,Atom,0
153639622,Atom,0
153639623,Atom,0
153639624,Atom,0
153639625,Atom,0
153639626,Atom,0
153639627,Atom,0
153639628,Atom,0
153639629,Atom,0
153639630,Atom,0
153639631,Atom,0
153639632,Atom,0
153639632,Atom,0
153639633,Atom,0
153639634,Atom,4
153639636,Atom,2
153639637,Atom,0
153639638,Google Chrome,0
153639639,Atom,0
153639640,Atom,0
153639640,Atom,4
153639641,Atom,7
153639642,Atom,0
153639643,Atom,0
153639644,Atom,0
153639645,Atom,0
153639646,Atom,0
153639647,Google Chrome,0
153639648,Atom,0
153639649,Atom,0
153639650,Atom,0
153639651,Atom,0
153639651,Atom,0
153639652,Atom,0
153639653,Atom,0
153639654,Atom,0
153639655,Atom,0
153639656,Atom,0
153639657,Atom,0
153639658,Atom,0
153639659,Atom,0
153639660,Atom,1
153639661,Atom,12
153639662,Atom,10
153639662,Atom,13
153639663,Atom,10
153639664,Atom,8
153639665,Atom,6
153639666,Atom,0
153639667,Atom,0
153639668,Atom,0
153639669,Atom,0
153639670,Atom,0
153639671,Atom,8
153639672,Atom,12
153639672,Atom,1
153639673,Atom,20
153639674,Atom,2
153639675,Atom,0
153639676,Atom,0
153639677,Atom,8
153639678,Atom,8
153639679,Atom,6
153639680,Atom,4
153639681,Calendar,0
153639682,Atom,0
153639683,Atom,15
153639683,Atom,3
153639684,Atom,2
153639685,Atom,0
153639686,Atom,19
153639687,Atom,19
153639688,Atom,17
153639689,Atom,19
153639690,Atom,1
153639691,Atom,16
153639692,Atom,12
153639693,Atom,18
153639693,Atom,23
153639694,Atom,3
153639695,Atom,24
153639696,Atom,30
153639697,Atom,0
153639698,Atom,0
153639699,Atom,1
153639700,Atom,0
153639701,Atom,0
153639702,Atom,0
153639703,Atom,0
153639704,Atom,0
153639704,Atom,0
153639705,Atom,4
153639706,Atom,7
153639707,Atom,7
153639708,Atom,0
153639709,Atom,0
153639710,Atom,0
153639711,Atom,0
153639712,Atom,0
153639713,Atom,0
153639714,Atom,0
153639715,Atom,0
153639715,Atom,0
153639716,Atom,0
153639717,Atom,0
153639718,Atom,0
153639719,Atom,0
153639720,Atom,0
153639721,Atom,0
153639722,Atom,0
153639723,Atom,0
153639724,Atom,0
153639725,Atom,0
153639725,Atom,0
153639726,Atom,0
153639727,Atom,0
153639728,Atom,0
153639729,Atom,0
153639730,Atom,0
153639731,Atom,0
153639732,Atom,0
153639733,Atom,0
153639734,Atom,0
153639735,Atom,0
153639736,Atom,0
153639736,Atom,0
153639737,Atom,0
153639738,Atom,0
153639739,Atom,0
153639740,Atom,0
153639741,Atom,0
153639742,Atom,0
153639743,Atom,0
153639744,Atom,0
153639745,Atom,0
153639746,Atom,0
153639747,Atom,0
153639747,Atom,0
153639748,Atom,0
153639749,Atom,0
153639750,Atom,0
153639751,Atom,0
153639752,Atom,0
153639753,Atom,0
153639754,Atom,0
153639755,Atom,0
153639756,Atom,0
153639757,Atom,0
153639758,Atom,0
153639758,Atom,0
153639759,Atom,0
153639760,Atom,0
153639761,Atom,0
153639762,Atom,0
153639763,Atom,0
153639764,Atom,0
153639765,Atom,0
153639766,Atom,0
153639767,Atom,0
153639768,Atom,0
153639769,Atom,0
153639769,Atom,0
153639770,Atom,0
153639771,Atom,0
153639772,Atom,15
153639773,Atom,0
153639774,Atom,0
153639775,Atom,0
153639776,Atom,0
153639777,Atom,0
153639778,Atom,0
153639779,Ato,0
153639780,Ato,0
153639780,Ato,0
153639781,Ato,0
153639782,Ato,0
153639783,Ato,0
153639784,Ato,0
153639785,Atom,0
153639786,Atom,0
153639787,Atom,0
153639788,Atom,0
153639789,Atom,0
153639790,Atom,0
153639790,Atom,0
153639791,Atom,0
153639792,Atom,0
153639793,Atom,0
153639794,Atom,0
153639795,Atom,0
153639796,Atom,0
153639797,Atom,0
153639798,Atom,0
153639799,Atom,0
153639800,Atom,0
153639801,Atom,0
153639801,Atom,0
153639802,Atom,0
153639803,Atom,0
153639804,Atom,0
153639805,Atom,0
153639806,Atom,0
153639807,Atom,0
153639808,Atom,0
153639809,Atom,0
153639810,Atom,0
153639811,Atom,0
153639812,Atom,0
153639812,Atom,0
153639813,Atom,0
153639814,Atom,0
153639815,Atom,0
153639816,Atom,0
153639817,Atom,0
153639818,Atom,0
153639819,Atom,0
153639820,Atom,0
153639821,Atom,0
153639822,Atom,0
153639822,Atom,0
153639823,Atom,0
153639824,Atom,0
153639825,Atom,0
153639826,Atom,0
153639827,Atom,0
153639828,Atom,0
153639829,Atom,0
153639830,Atom,0
153639831,Atom,0
153639832,Atom,0
153639833,Atom,1
153639833,Atom,1
153639834,Atom,0
153639835,Atom,0
153639836,Atom,0
153639837,Atom,0
153639838,Atom,0
153639839,Atom,0
153639840,Atom,0
153639841,Atom,0
153639842,Atom,0
153639843,Atom,0
153639844,Atom,0
153639844,Atom,0
153639845,Atom,0
153639846,Atom,0
153639847,Atom,0
153639848,Atom,0
153639849,Atom,0
153639850,Atom,7
153639851,Atom,1
153639852,Atom,0
153640184,Atom,1
153640185,Atom,0
153640185,Atom,0
153640186,Atom,0
153640187,Atom,0
153640188,Atom,0
153640189,Atom,0
153640190,Atom,0
153642075,Terminal,2
153642076,Atom,0
153642077,Atom,4
153642078,Atom,9
153642079,Atom,4
153642080,Terminal,3
153642081,Atom,8
153642082,Terminal,3
153642083,Terminal,0
153642084,Google Chrome,4
153642085,Atom,1
153642086,Atom,11
153642086,Atom,22
